model,accuracy,f1,roc_auc,pr_auc
XGBoost,0.9113772455089821,0.9432277149915846,0.9687470088996808,0.991403841623287
Random Forest,0.918562874251497,0.9486000626664175,0.967561563324922,0.990639916448184
Logistic Regression,0.9089820359281438,0.9422691816762226,0.9650889350889351,0.9901280063534038
SVM,0.904191616766467,0.9406520339572382,0.9581800179510103,0.9881724563472354
Decision Tree,0.8910179640718564,0.9304644965434463,0.8329111848195817,0.9154059856688092
