GroupAttr,GroupValue,n,accuracy,f1,roc_auc,pr_auc,brier,positive_prediction_rate,tpr,fpr
sex,ALL,209,0.8995215311004785,0.9353846153846154,0.9503867698052813,0.9804156278185907,0.06568120359009724,0.7751196172248804,0.9325153374233128,0.21739130434782608
sex,F,128,0.8984375,0.9359605911330049,0.9427942794279428,0.9764926481269283,0.06333353409751798,0.796875,0.9405940594059405,0.25925925925925924
sex,M,81,0.9012345679012346,0.9344262295081968,0.963497453310696,0.9883020348769574,0.0693911010598521,0.7407407407407407,0.9193548387096774,0.15789473684210525
